"","artist","n"
"702","becky hill",5
"703","bee gees",149
"704","bee gees & samantha sang",2
"705","beirut",13
"706","bel amour",1
"707","belgian asociality",1
"708","belinda carlisle",40
"709","belinda kinnaer",17
"710","bellamy brothers",17
"711","belle and sebastian",5
"712","belle perez",67
"713","belle perez & voice male",1
"714","belle stars",17
"715","bellini",3
"716","belouis some",5
"717","beloved",9
"718","ben",3
"719","ben bohmer",1
"720","ben cramer",13
"721","ben delay",125
"722","ben e king",2
"723","ben folds",3
"724","ben folds five",6
"725","ben folds ft. regina spektor",1
"726","ben harper and charlie musselwhite",2
"727","ben harper and the innocent criminals",1
"728","ben howard",47
"729","ben klock",1
"730","ben l'oncle soul",4
"731","ben pearce",6
"732","ben steneker",3
"733","ben westbeech",7
"734","benabar",2
"735","benjamin biolay ft. julia stone",1
"736","benjamin clementine",16
"737","benny andersson",1
"738","benny benassi",5
"739","benny benassi ft. gary go",1
"740","benny benassi ft. the biz",1
"741","benny goodman sextet ft. lionel hampton",1
"742","benny neyman",90
"743","benny scott",11
"744","benoît blue boy & nico duportal",1
"745","bent van looy",10
"746","berdien stenberg",1
"747","berlaen",12
"748","berlin",6
"749","bernadette carrol",1
"750","bernhard brink",1
"751","bernie paul",3
"752","berntholer",3
"753","berry daamen",1
"754","bert de coninck",4
"755","bert de coninck & fran",3
"756","bert de coninck en fran",2
"757","bert heerink",1
"758","bert kaempfert",12
"759","bert zwier",2
"760","bertice reading",1
"761","bertus staigerpaip",1
"762","bet",3
"763","beth ditto",16
"764","beth hart & joe bonamassa",3
"765","bette midler",11
"766","betty boo",9
"767","betty goes green",1
"768","betty mars",1
"769","betty wright",2
"770","beverley craven",12
"771","beverly brown",1
"772","beverly craven",2
"773","beverly knight",2
"774","bewitched",2
"775","beyonce",80
"776","beyoncé",2
"777","beyonce ft. jay-z",50
"778","beyonce ft. jay z",10
"779","beyonce ft. kendrick lamar",11
"780","beyonce ft. kendrick lamar + charles bradley",1
"781","beyonce ft. sean paul",3
"782","beyonce ft. shakira",4
"783","beyonce ft. slim thug",2
"784","bicep",32
"785","bicep x charlotte de witte xx jedelo mix",1
"786","biddu orchestra",2
"787","biezebaaze",3
"788","big ali",2
"789","big bill",7
"790","big boi",2
"791","big bopper",1
"792","big brovaz",3
"793","big country",3
"794","big daddy",2
"795","big little lions",1
"796","big mountain",3
"797","big sandy and his fly rite boys",1
"798","big shaq",232
"799","big shaq + blur",1
"800","big shaq + de jeugd van tegenwoordig",2
"801","big shaq + felix da housecat & miss kittin",3
"802","big shaq vs jay-z & kanye west",1
"803","big star",3
"804","big thief",1
"805","bill amesbury",1
"806","bill baxter",5
"807","bill evans and les mccann",1
"808","bill frisell",1
"809","bill haley",1
"810","bill haley & his comets",4
"811","bill medley & jennifer warnes",18
"812","bill medley and jennifer warnes",17
"813","bill withers",50
"814","bill withers & grover washington",1
"815","bill withers & michael mcdonald",4
"816","bill withers and grover washington jr.",4
"817","bill wyman",2
"818","billie",9
"819","billie holiday",4
"820","billy & bloomfish",1
"821","billy bragg",9
"822","billy bremner",1
"823","billy crawford",6
"824","billy griffin",1
"825","billy idol",21
"826","billy jo spears",5
"827","billy joel",170
"828","billy ocean",120
"829","billy paul",64
"830","billy porter",1
"831","billy preston & syreeta",3
"832","billy ray cyrus",12
"833","billy stewart",2
"834","billy swan",6
"835","bing barlow",1
"836","bing crosby",1
"837","bing crosby & gary crosby",1
"838","bingo",4
"839","bingo players",1
"840","bingo players ft. far east movement",2
"841","bingo players ft. tony scott",2
"842","binker and moses",2
"843","birdy",35
"844","birdy ft. rhodes",4
"845","bireli lagrene & sylvain luc",1
"846","bitty mclean",1
"847","bizarre inc. ft. angie brown",7
"848","bizjoe",2
"849","bizzey",1
"850","bizzey & kraantje pappie",6
"851","bizzey ft. jozo & kraantje pappie",3
"852","bizzey ft. kraantje pappie chivv & yung felix",29
"853","bjork",3
"854","björk",15
"855","björk tom yorke",1
"856","bjorn litjes",7
"857","björn van der doelen",1
"858","bko",1
"859","black",22
"860","black & white brothers",1
"861","black box",7
"862","black box revelation",25
"863","black box revelation ft. the gospel queens",3
"864","black dub",1
"865","black eyed peas",38
"866","black eyed peas & justin timberlake",1
"867","black eyed peas & sergio mendes",10
"868","black eyed peas (the)",12
"869","black eyed peas and justin timberlake",10
"870","black eyed peas ft. justin timberlake",1
"871","black eyed peas macklemore",1
"872","black flower",5
"873","black kids",4
"874","black m",35
"875","black machine",1
"876","black sabbath",7
"877","black slate",3
"878","black strobe",1
"879","black white & co",1
"880","blackbox",5
"881","blackbox revelation",3
"882","blackbyrds",2
"883","blackstreet",5
"884","blackstreet ft. dr dre",8
"885","blackstrobe",1
"886","blackwave",2
"887","blackwave + beastie boys",1
"888","blackwave ft. david ngyah",33
"889","blackwave vs owl city",1
"890","blackwave.",2
"891","blackwave. ft. david ngyah",111
"892","blackwave. ft. david ngyah + jose gonzalez",2
"893","blanche",88
"894","blancmange",4
"895","blaudzun",5
"896","blaze ft. barbara tucker",2
"897","bless this mess",1
"898","blessid union of souls",1
"899","blick bassy",1
"900","blind faith",2
"901","blind melon",11
"902","blink-182",17
"903","blink 182",23
"904","blitz",4
"905","bloc party",24
"906","bloem",4
"907","blof",1
"908","bløf",14
"909","bløf & geike arnaert",28
"910","blof & typhoon",18
"911","blof ft. counting crows",1
"912","blof ft. geike arnaert",147
"913","bløf ft. geike arnaert",71
"914","blof ft. typhoon",1
"915","blonde",2
"916","blonde ft. alex newell",2
